country,n_obs,longest_run,year_min,year_max,has_holes,keep
AUS,45,45,1972,2016,False,True
BEL,57,57,1960,2016,False,True
CAN,57,57,1960,2016,False,True
CHE,57,57,1960,2016,False,True
DEU,55,55,1962,2016,False,True
DNK,57,57,1960,2016,False,True
ESP,57,57,1960,2016,False,True
FIN,57,57,1960,2016,False,True
FRA,57,57,1960,2016,False,True
GBR,57,57,1960,2016,False,True
IRL,57,57,1960,2016,False,True
ITA,57,57,1960,2016,False,True
JPN,57,57,1960,2016,False,True
NLD,57,57,1960,2016,False,True
NOR,57,57,1960,2016,False,True
PRT,57,57,1960,2016,False,True
SWE,57,57,1960,2016,False,True
USA,57,57,1960,2016,False,True
