Variable,cce,ccerobust,dccecce
D.CPI,-0.131*,-0.179**,-0.127**
,(0.063),(0.055),(0.048)
D.Energy,-0.022,-0.024*,-0.004
,(0.014),(0.012),(0.012)
D.OpenTrade,0.219**,0.202**,0.156**
,(0.046),(0.041),(0.035)
D.GovExp,-0.296**,-0.193**,-0.173*
,(0.082),(0.059),(0.075)
D.Invest,0.653**,0.653**,0.571**
,(0.069),(0.067),(0.077)
L.GDP,-0.353**,-0.349**,-0.338**
,(0.044),(0.039),(0.044)
L.CPI,-0.049,-0.051,-0.091**
,(0.029),(0.027),(0.028)
L.OpenTrade,0.088**,0.058**,0.136**
,(0.029),(0.017),(0.030)
L.Invest,0.273**,0.261**,0.294**
,(0.069),(0.063),(0.061)
_cons,0.228,0.186,0.113
,(0.240),(0.223),(0.213)
