Variable,inst,exog,w/o_mod,recession,ger_ire,sixties
L.D.CPI>2%,-0.102,-0.081,-0.095,-0.102,-0.102,-0.101*
,(0.068),(0.068),(0.064),(0.070),(0.068),(0.040)
D.OpenTrade,0.088,0.087,0.082,0.098*,0.088,0.144**
,(0.046),(0.048),(0.043),(0.047),(0.046),(0.038)
D.GovExp,-0.093,-0.104,-0.115,-0.114,-0.093,-0.113
,(0.076),(0.074),(0.075),(0.064),(0.076),(0.073)
D.Invest,0.514**,0.538**,0.580**,0.541**,0.514**,0.555**
,(0.135),(0.129),(0.129),(0.131),(0.135),(0.098)
L.GDP,-0.431**,-0.474**,-0.445**,-0.444**,-0.431**,-0.350**
,(0.079),(0.076),(0.075),(0.082),(0.079),(0.048)
L.CPI,-0.109*,-0.090,-0.075,-0.107,-0.109*,-0.078*
,(0.054),(0.051),(0.059),(0.056),(0.054),(0.032)
L.OpenTrade,0.127**,0.146**,0.135**,0.129**,0.127**,0.149**
,(0.039),(0.041),(0.041),(0.042),(0.039),(0.037)
L.Invest,0.464**,0.491**,0.491**,0.487**,0.464**,0.322**
,(0.134),(0.124),(0.129),(0.138),(0.134),(0.080)
mod,-0.000,-0.001,,-0.001,-0.000,-0.000
,(0.007),(0.007),,(0.007),(0.007),(0.006)
D.Energy×mod,0.024,-0.001,,0.030,0.024,-0.001
,(0.032),(0.026),,(0.030),(0.032),(0.024)
D.Energy,-0.024,,-0.006,-0.025,-0.024,-0.017
,(0.027),,(0.016),(0.023),(0.027),(0.025)
recess,,,,0.005,,
,,,,(0.005),,
_cons,-0.331,-0.043,-0.151,-0.268,-0.331,-0.062
,(0.812),(0.867),(0.804),(0.826),(0.812),(0.252)
Price effect (post-1982),0.000,,-0.006,0.005,0.000,-0.018
Observations,808,808,808,808,808,976
