Country,Intensity,Exports,Imports,Post_1982,Pre-1983
Australia,6.617,9.462,4.660,-0.041,0.045
Belgium,6.230,0.490,2.477,-0.063,-0.063
Canada,10.861,16.607,12.377,0.042,-0.024
Switzerland,3.072,0.605,1.230,0.021,-0.085
Germany,4.224,5.535,14.295,-0.142,-0.314
Denmark,3.614,0.738,0.817,0.012,-0.092
Spain,3.996,1.488,5.077,0.032,0.017
Finland,6.438,0.419,1.184,-0.097,-0.221
France,4.697,4.758,10.227,-0.003,-0.090
United Kingdom,4.615,8.877,9.302,0.038,0.040
Ireland,3.274,0.074,0.506,0.067,0.012
Italy,3.390,1.311,7.116,0.006,-0.092
Japan,4.542,3.618,20.419,-0.091,-0.221
Netherlands,5.769,2.729,3.772,-0.009,-0.069
Norway,7.840,8.174,1.790,-0.095,-0.123
Portugal,3.369,0.154,0.903,0.248,0.017
Sweden,6.607,1.392,2.232,-0.124,-0.148
United States,7.221,72.613,91.547,-0.073,-0.140
Average,,,,-0.015,-0.086
