Country,Intensity,Exports,Imports,Post-1982,Pre-1983
Australia,6.617,9.462,4.660,-0.041,0.149
Belgium,6.230,0.490,2.477,-0.063,-0.204
Canada,10.861,16.607,12.377,0.042,0.004
Switzerland,3.072,0.605,1.230,0.021,-0.109
Germany,4.224,5.535,14.295,-0.142,-0.096
Denmark,3.614,0.738,0.817,0.012,0.149
Spain,3.996,1.488,5.077,0.032,0.046
Finland,6.438,0.419,1.184,-0.097,-0.231
France,4.697,4.758,10.227,-0.003,0.221
United Kingdom,4.615,8.877,9.302,0.038,-0.102
Ireland,3.274,0.074,0.506,0.067,0.524
Italy,3.390,1.311,7.116,0.006,-0.252
Japan,4.542,3.618,20.419,-0.091,-0.108
Netherlands,5.769,2.729,3.772,-0.009,-0.349
Norway,7.840,8.174,1.790,-0.095,-0.112
Portugal,3.369,0.154,0.903,0.248,-0.102
Sweden,6.607,1.392,2.232,-0.124,0.564
United States,7.221,72.613,91.547,-0.073,0.152
Average,,,,-0.015,0.008
