country,yr,dlrgdpmad,dlenpr,FD_Y,FD_X
Australia,1972,.,.,.,.
Australia,1973,0.0375,-0.0501,.,.
Australia,1974,0.0083,-0.0196,-0.0292,0.0304
Belgium,1972,0.0474,-0.1269,.,.
Belgium,1973,0.0564,-0.0158,0.0090,0.1110
Belgium,1974,0.0381,0.0414,-0.0183,0.0572
Canada,1972,0.0398,-0.0756,.,.
Canada,1973,0.0569,0.0522,0.0171,0.1278
Canada,1974,0.0262,0.1459,-0.0307,0.0937
Switzerland,1972,0.0224,-0.0497,.,.
Switzerland,1973,0.0239,-0.0202,0.0015,0.0295
Switzerland,1974,0.0115,0.1442,-0.0123,0.1644
Germany,1972,0.0358,-0.0088,.,.
Germany,1973,0.0414,0.0841,0.0056,0.0929
Germany,1974,0.0080,0.0878,-0.0334,0.0036
Denmark,1972,0.0457,-0.0907,.,.
Denmark,1973,0.0296,-0.0359,-0.0161,0.0547
Denmark,1974,-0.0140,0.3241,-0.0436,0.3601
Spain,1972,0.0873,-0.0531,.,.
Spain,1973,0.0752,-0.0946,-0.0121,-0.0415
Spain,1974,0.0625,0.4227,-0.0126,0.5172
Finland,1972,0.0676,-0.0237,.,.
Finland,1973,0.0592,-0.0043,-0.0084,0.0194
Finland,1974,0.0246,0.2240,-0.0346,0.2284
France,1972,0.0347,0.0155,.,.
France,1973,0.0447,-0.0836,0.0100,-0.0991
France,1974,0.0222,0.1866,-0.0225,0.2703
United Kingdom,1972,0.0317,-0.0352,.,.
United Kingdom,1973,0.0627,-0.0474,0.0310,-0.0122
United Kingdom,1974,-0.0139,0.0082,-0.0767,0.0557
Ireland,1972,0.0514,-0.0161,.,.
Ireland,1973,0.0390,-0.1113,-0.0125,-0.0952
Ireland,1974,0.0093,0.2046,-0.0297,0.3158
Italy,1972,0.0317,-0.1254,.,.
Italy,1973,0.0612,0.0305,0.0295,0.1559
Italy,1974,0.0469,0.1188,-0.0143,0.0882
Japan,1972,0.0668,-0.0487,.,.
Japan,1973,0.0632,-0.0115,-0.0036,0.0372
Japan,1974,-0.0256,0.3051,-0.0888,0.3166
Netherlands,1972,0.0223,-0.1643,.,.
Netherlands,1973,0.0377,0.1636,0.0154,0.3278
Netherlands,1974,0.0313,0.0712,-0.0064,-0.0924
Norway,1972,0.0420,-0.0001,.,.
Norway,1973,0.0362,-0.0049,-0.0058,-0.0048
Norway,1974,0.0349,0.2400,-0.0013,0.2449
Portugal,1972,0.0793,-0.0825,.,.
Portugal,1973,0.1056,-0.1032,0.0262,-0.0207
Portugal,1974,-0.0022,0.2707,-0.1077,0.3738
Sweden,1972,0.0197,-0.0661,.,.
Sweden,1973,0.0371,-0.0235,0.0175,0.0426
Sweden,1974,0.0286,0.1597,-0.0086,0.1832
United States,1972,0.0409,-0.0095,.,.
United States,1973,0.0457,0.0183,0.0048,0.0278
United States,1974,-0.0119,0.2694,-0.0576,0.2511
