Country,T(i),"r(Y,X)",sd(Y),sd(X),sd(Y)/sd(X),beta,Diagnosis
Switzerland,44,0.411,0.025,0.105,0.238,0.098,positive > 0.08
Germany,44,0.363,0.029,0.067,0.441,0.160,positive > 0.08
Canada,44,0.279,0.024,0.108,0.226,0.063,positive > 0.08
Sweden,44,0.210,0.026,0.074,0.353,0.074,positive > 0.08
Spain,44,0.195,0.020,0.132,0.149,0.029,positive > 0.08
Finland,44,0.132,0.033,0.096,0.348,0.046,positive > 0.08
United States,44,0.123,0.025,0.118,0.210,0.026,positive > 0.08
France,44,0.045,0.018,0.084,0.211,0.010,weak
Australia,43,0.006,0.020,0.058,0.353,0.002,weak
Portugal,44,-0.006,0.035,0.115,0.301,-0.002,weak
Netherlands,44,-0.063,0.020,0.085,0.233,-0.015,weak
Belgium,44,-0.098,0.025,0.094,0.270,-0.026,negative < -0.08
Ireland,44,-0.124,0.046,0.104,0.445,-0.055,negative < -0.08
United Kingdom,44,-0.135,0.023,0.074,0.315,-0.043,negative < -0.08
Norway,44,-0.136,0.016,0.115,0.135,-0.018,negative < -0.08
Japan,44,-0.155,0.027,0.099,0.272,-0.042,negative < -0.08
Denmark,44,-0.226,0.026,0.108,0.241,-0.054,negative < -0.08
Italy,44,-0.364,0.028,0.099,0.279,-0.101,negative < -0.08
