Country,T(i),"r(Y,X)",sd(Y),sd(X),sd(Y)/sd(X),beta,Diagnosis
United Kingdom,45,0.301,0.014,0.045,0.302,0.091,positive > 0.08
Australia,44,0.164,0.016,0.045,0.348,0.057,positive > 0.08
Spain,45,0.134,0.020,0.060,0.324,0.043,positive > 0.08
Germany,45,0.059,0.015,0.033,0.465,0.027,weak
Switzerland,45,0.029,0.016,0.044,0.369,0.011,weak
Canada,45,0.008,0.014,0.059,0.241,0.002,weak
Sweden,45,-0.051,0.016,0.031,0.495,-0.025,weak
Finland,45,-0.065,0.023,0.038,0.598,-0.039,weak
Portugal,45,-0.070,0.023,0.061,0.380,-0.026,weak
Netherlands,45,-0.073,0.010,0.051,0.203,-0.015,weak
Norway,45,-0.163,0.017,0.056,0.296,-0.048,negative < -0.08
United States,45,-0.177,0.013,0.048,0.274,-0.048,negative < -0.08
France,45,-0.189,0.008,0.027,0.306,-0.058,negative < -0.08
Ireland,45,-0.195,0.037,0.043,0.856,-0.167,negative < -0.08
Belgium,45,-0.203,0.010,0.042,0.244,-0.049,negative < -0.08
Japan,45,-0.223,0.018,0.046,0.393,-0.088,negative < -0.08
Italy,45,-0.331,0.012,0.046,0.271,-0.090,negative < -0.08
Denmark,45,-0.398,0.014,0.046,0.303,-0.120,negative < -0.08
