Variable,N,NT,NT/N,Overall variance,Between variance,Within variance,% within
dopen,18,809,44.9,0.0077,0.0000,0.0077,99.7450
dlenpr,18,809,44.9,0.0054,0.0000,0.0054,99.6215
dexpgdp,18,809,44.9,0.0004,0.0000,0.0004,99.0001
diy,18,809,44.9,0.0002,0.0000,0.0002,98.9493
lcpi,18,810,45.0,0.3656,0.0065,0.3591,98.2237
dlrgdpmad,18,809,44.9,0.0006,0.0000,0.0005,96.1071
dlcpi,18,809,44.9,0.0021,0.0003,0.0018,87.5986
lenpr,18,810,45.0,0.0512,0.0095,0.0417,81.5158
lrgdpmad,18,810,45.0,0.0977,0.0298,0.0679,69.5043
iy,18,810,45.0,0.0015,0.0005,0.0010,66.3393
open,18,810,45.0,0.0934,0.0718,0.0215,23.0541
expgdp,18,810,45.0,0.0082,0.0067,0.0014,17.4557
