Variable,N_countries,N_obs,Overall_Var,Between_Var,Within_Var,Share_Within
lrgdpmad,18,810,0.09767185165848555,0.03149886732274299,0.06788614893673223,69.50431243394412
lcpi,18,810,0.36562251179743116,0.0068680450801119975,0.35912800687000757,98.22371305981788
lenpr,18,810,0.05117789056064732,0.010003891943045847,0.041718091628100876,81.51584829129231
open,18,810,0.09335418794136172,0.07596379216627472,0.021521924644451757,23.054053727048924
expgdp,18,810,0.008155865949387378,0.007119416961790872,0.0014236607877433527,17.45566683633747
iy,18,810,0.0014516963045656938,0.000516757102909988,0.0009630446559548893,66.3392648259861
dlrgdpmad,18,809,0.0005704283703711011,2.3457803222436126e-05,0.0005482218866607408,96.10705132076205
dlcpi,18,809,0.0020936311662950687,0.00027429471787272466,0.0018339924505338875,87.59864106242539
dlenpr,18,809,0.005411073044008917,2.167584754118095e-05,0.005390593165220822,99.62151908463387
dopen,18,809,0.0077432289897434985,2.0868329353844955e-05,0.007723483325057547,99.74499443691893
dexpgdp,18,809,0.0004090692022296694,4.321011945054108e-06,0.00040497871934595337,99.00005112547694
diy,18,809,0.00020062833885544406,2.2276852955869278e-06,0.00019852028823070795,98.94927574202018
